79,61,-1.0
21,12,1.0
118,59,1.0
26,67,-1.0
91,51,-1.0
35,40,-1.0
53,42,-1.0
113,73,-1.0
84,47,-1.0
106,32,1.0
123,52,-1.0
59,59,1.0
91,63,-1.0
81,1,1.0
91,22,-1.0
0,53,-1.0
107,26,1.0
101,35,1.0
102,59,-1.0
2,8,-1.0
85,11,-1.0
105,31,1.0
54,11,1.0
78,16,1.0
101,70,1.0
101,24,1.0
89,67,1.0
49,41,-1.0
72,77,1.0
119,28,1.0
101,80,1.0
118,2,1.0
101,43,1.0
101,19,1.0
20,17,1.0
101,34,1.0
109,52,-1.0
6,37,-1.0
27,43,-1.0
118,17,1.0
59,2,1.0
114,30,-1.0
101,9,1.0
65,9,-1.0
69,81,1.0
36,47,1.0
44,44,1.0
85,15,-1.0
59,17,1.0
32,66,-1.0
76,79,1.0
118,64,1.0
4,18,1.0
52,21,-1.0
101,60,1.0
20,78,1.0
109,3,-1.0
91,8,-1.0
31,56,1.0
31,20,1.0
91,13,-1.0
59,64,1.0
59,73,1.0
85,46,-1.0
47,44,-1.0
118,50,1.0
42,70,-1.0
24,50,-1.0
102,73,-1.0
102,57,-1.0
59,50,1.0
91,77,-1.0
110,62,1.0
91,28,-1.0
118,36,1.0
6,77,-1.0
60,83,1.0
102,50,-1.0
102,7,-1.0
22,12,-1.0
57,13,-1.0
15,38,1.0
43,6,1.0
31,6,1.0
59,36,1.0
75,51,-1.0
62,75,1.0
24,14,1.0
31,11,1.0
31,33,1.0
4,42,1.0
6,42,1.0
27,59,1.0
91,35,-1.0
16,48,-1.0
113,72,-1.0
12,33,1.0
4,30,1.0
4,21,1.0
32,45,-1.0
6,5,-1.0
27,6,-1.0
82,18,-1.0
118,23,1.0
91,80,-1.0
91,43,-1.0
32,3,-1.0
101,40,1.0
91,70,-1.0
91,44,-1.0
100,48,1.0
31,15,1.0
82,42,-1.0
105,19,1.0
48,28,-1.0
27,57,1.0
101,10,1.0
63,32,-1.0
4,76,1.0
6,76,1.0
91,5,-1.0
4,31,1.0
83,46,-1.0
85,65,-1.0
31,46,1.0
91,24,-1.0
76,45,1.0
121,71,-1.0
80,55,-1.0
91,60,-1.0
7,39,1.0
17,66,1.0
91,19,-1.0
91,34,-1.0
34,10,1.0
11,55,-1.0
32,79,-1.0
74,68,1.0
118,72,1.0
91,9,-1.0
82,30,-1.0
82,21,-1.0
2,24,1.0
58,7,-1.0
40,69,1.0
53,60,-1.0
72,38,-1.0
107,50,1.0
27,4,-1.0
118,18,1.0
27,78,-1.0
105,24,-1.0
113,2,1.0
76,3,1.0
52,29,-1.0
51,61,1.0
42,58,1.0
82,76,-1.0
30,41,1.0
31,82,1.0
101,25,1.0
4,59,1.0
82,31,-1.0
102,2,-1.0
101,78,1.0
24,36,-1.0
85,49,-1.0
23,18,-1.0
6,56,-1.0
112,40,1.0
2,7,1.0
102,64,-1.0
59,18,1.0
82,59,-1.0
4,57,1.0
43,82,1.0
3,47,-1.0
46,71,1.0
118,42,1.0
95,56,1.0
66,62,-1.0
101,39,1.0
92,68,1.0
103,74,1.0
101,22,1.0
27,12,-1.0
59,42,1.0
62,74,-1.0
102,17,-1.0
4,50,1.0
8,48,-1.0
93,65,1.0
102,42,-1.0
102,36,-1.0
82,57,-1.0
72,76,-1.0
6,33,-1.0
27,82,-1.0
53,5,1.0
31,65,1.0
4,73,1.0
70,2,-1.0
88,54,1.0
61,80,-1.0
91,25,-1.0
118,30,1.0
33,71,-1.0
118,21,1.0
27,75,-1.0
68,13,1.0
91,78,-1.0
4,7,1.0
63,54,-1.0
48,4,1.0
59,30,1.0
59,21,1.0
47,70,1.0
60,73,1.0
85,37,-1.0
109,66,-1.0
101,27,1.0
105,43,1.0
102,30,-1.0
122,59,-1.0
85,54,-1.0
82,73,-1.0
101,13,1.0
27,64,1.0
10,74,-1.0
53,21,1.0
