1476,1861,1.0
3420,220,-1.0
2684,1634,-1.0
1078,223,1.0
1033,744,1.0
1999,1978,-1.0
3689,483,-1.0
2206,38,-1.0
2149,228,-1.0
1394,225,1.0
1558,1005,1.0
3802,1028,1.0
516,424,-1.0
3638,1915,1.0
1858,484,-1.0
2909,1839,-1.0
786,203,-1.0
3504,112,1.0
1977,75,-1.0
756,377,1.0
2252,649,-1.0
294,1166,-1.0
1280,1409,-1.0
590,1717,1.0
2366,937,-1.0
163,1692,-1.0
1280,1879,-1.0
565,271,1.0
2378,1115,1.0
1893,766,-1.0
2782,2094,-1.0
346,402,-1.0
1038,1445,-1.0
3769,181,-1.0
3279,1611,1.0
1158,1402,1.0
220,1322,-1.0
1280,1754,-1.0
69,1615,-1.0
186,1595,-1.0
1452,1626,-1.0
557,324,1.0
3384,3,1.0
3763,1156,1.0
3238,1680,1.0
2954,2094,1.0
2604,1397,-1.0
3021,1739,-1.0
1542,304,-1.0
2919,1718,-1.0
1762,923,1.0
1280,789,-1.0
3639,2164,-1.0
2714,1856,-1.0
415,2140,-1.0
2511,1158,1.0
2982,564,1.0
2710,260,1.0
3521,1654,-1.0
2928,1936,-1.0
662,1822,1.0
3639,1906,-1.0
3129,1146,1.0
3600,277,1.0
2497,1917,1.0
413,1726,-1.0
2215,1162,1.0
674,569,-1.0
3630,307,1.0
2283,1712,1.0
1280,1355,-1.0
2470,876,-1.0
580,1664,1.0
1944,1359,1.0
3269,430,-1.0
1703,2011,-1.0
3469,559,-1.0
3132,1033,-1.0
3432,1959,1.0
1280,255,-1.0
590,1365,1.0
3102,936,-1.0
590,1592,1.0
2710,886,1.0
2470,1490,-1.0
3577,1175,1.0
2812,2089,1.0
3472,1836,-1.0
512,2135,-1.0
2419,530,-1.0
2171,1080,-1.0
2330,493,1.0
1280,1,-1.0
464,285,-1.0
2470,2139,-1.0
3332,1003,-1.0
590,2153,1.0
2298,2001,1.0
3247,100,-1.0
2643,133,-1.0
2655,490,-1.0
1280,28,-1.0
1280,1604,-1.0
1029,1494,-1.0
108,178,1.0
590,514,1.0
256,1346,-1.0
1433,1417,-1.0
3027,346,-1.0
3187,16,-1.0
3587,1071,-1.0
3379,380,1.0
427,699,1.0
590,1188,1.0
295,113,1.0
590,1297,1.0
1284,1756,1.0
1097,303,-1.0
2027,34,-1.0
3509,693,-1.0
590,2090,1.0
2736,851,1.0
3386,153,-1.0
70,1449,-1.0
590,576,1.0
590,1839,1.0
1269,335,-1.0
2676,965,1.0
3660,2020,-1.0
590,1772,1.0
3573,682,1.0
3442,1221,1.0
2463,468,-1.0
575,481,-1.0
2151,1702,1.0
1944,528,1.0
1500,1165,1.0
1897,1469,1.0
1013,2060,1.0
422,54,-1.0
2725,1460,-1.0
82,291,1.0
29,1622,-1.0
3277,1442,-1.0
1306,478,-1.0
3389,753,-1.0
724,698,1.0
379,365,-1.0
1499,1566,-1.0
2344,2092,-1.0
1280,1525,-1.0
1413,847,1.0
2572,1432,-1.0
875,1911,1.0
3801,1895,1.0
1168,1162,-1.0
3683,937,-1.0
2370,1352,-1.0
208,2115,-1.0
610,997,-1.0
2287,1507,1.0
3791,129,-1.0
2877,2128,-1.0
1611,1103,-1.0
232,2148,1.0
1280,1087,-1.0
2620,1009,-1.0
2280,1866,-1.0
3087,230,-1.0
3119,2148,-1.0
1280,709,-1.0
265,1169,-1.0
889,483,-1.0
2542,571,-1.0
669,1270,-1.0
1060,578,1.0
2559,1853,1.0
102,1320,-1.0
3791,2046,-1.0
3774,92,1.0
124,486,1.0
397,440,-1.0
2406,1778,-1.0
2404,1272,-1.0
2325,1999,-1.0
1852,1709,1.0
590,1527,1.0
906,52,1.0
1042,742,-1.0
2073,515,-1.0
88,675,-1.0
