7263,7083,1.0
2342,11109,-1.0
14202,11118,-1.0
4034,895,-1.0
6429,9456,-1.0
3625,2688,-1.0
3060,12374,-1.0
7804,487,-1.0
10473,1396,-1.0
3536,2570,1.0
8676,7688,-1.0
918,13124,1.0
10598,631,-1.0
15266,3334,1.0
5004,10671,0.0
2941,2267,1.0
10743,5020,1.0
10456,9023,-1.0
15474,902,1.0
18599,12702,-1.0
7679,5896,-1.0
10598,12652,-1.0
12299,341,-1.0
7735,5944,-1.0
16768,8340,1.0
6429,874,-1.0
6301,5531,1.0
15560,4256,1.0
8962,1145,1.0
12830,8633,0.0
16934,9104,-1.0
1468,12152,-1.0
15217,1682,-1.0
13108,10142,-1.0
3852,2927,1.0
15089,10900,1.0
144,9442,-1.0
5775,12344,-1.0
3919,8576,-1.0
1143,8080,0.0
15384,12095,-1.0
918,8391,1.0
3312,2474,1.0
7109,5613,-1.0
7377,2745,1.0
51,12,1.0
7364,5747,1.0
11055,8166,1.0
3121,2372,-1.0
918,533,1.0
8326,12059,1.0
6316,4970,1.0
9744,7566,1.0
3052,2330,-1.0
338,7955,-1.0
3986,4942,1.0
1867,10271,1.0
4525,510,1.0
15056,2872,1.0
7207,10016,1.0
15384,12102,-1.0
6128,1937,1.0
18182,13188,-1.0
14810,4457,-1.0
16396,4793,1.0
6896,860,-1.0
15089,8602,1.0
17974,9405,-1.0
5397,4386,-1.0
14136,889,1.0
14162,3175,1.0
15126,5206,-1.0
918,4343,1.0
2618,2137,-1.0
6786,5388,1.0
16811,1978,-1.0
16481,5589,-1.0
6101,6809,-1.0
6316,10444,-1.0
918,12879,1.0
7528,5743,-1.0
15580,12169,1.0
9489,5124,1.0
6432,184,-1.0
7333,5727,-1.0
3723,2407,1.0
7831,11043,1.0
3611,5497,1.0
3611,7970,-1.0
5068,6033,-1.0
2122,7716,-1.0
6601,6856,1.0
10452,7783,-1.0
16182,12215,1.0
11886,10219,1.0
1557,13170,0.0
16753,8330,1.0
11941,4743,1.0
8035,7972,-1.0
1557,10449,1.0
14016,12472,1.0
1468,9037,-1.0
1468,12784,-1.0
10945,8104,-1.0
9159,6021,1.0
15863,9807,-1.0
6429,12372,1.0
13095,10130,-1.0
6432,7741,-1.0
11390,8535,-1.0
1468,11723,-1.0
2606,520,-1.0
8040,10222,1.0
196,645,-1.0
9758,7469,-1.0
2689,4638,1.0
9170,1624,1.0
3205,10782,-1.0
6514,10488,-1.0
11256,9087,-1.0
10096,7453,-1.0
15384,902,-1.0
1468,1647,-1.0
18580,6674,1.0
2099,1147,1.0
6432,8529,-1.0
13913,7666,1.0
3068,2333,-1.0
9594,5286,1.0
15987,794,0.0
4230,3184,1.0
7618,5863,-1.0
17267,12933,-1.0
17081,949,-1.0
16521,10386,1.0
15998,12408,-1.0
15426,12104,1.0
6493,5266,1.0
8320,12563,1.0
6119,5057,1.0
12448,9529,-1.0
6432,3028,1.0
10037,226,1.0
13235,10244,-1.0
7139,5651,0.0
18327,13222,-1.0
1468,1011,-1.0
4189,12300,0.0
6365,1263,1.0
10505,10414,-1.0
16162,12527,-1.0
11845,8554,1.0
13347,4208,1.0
1882,11891,1.0
17187,1174,1.0
169,4781,-1.0
6935,4119,-1.0
9745,6843,-1.0
1547,5115,-1.0
1383,6034,-1.0
4890,3758,0.0
16455,11213,1.0
527,2662,1.0
6224,5101,1.0
6429,12213,-1.0
2228,6019,1.0
2562,11283,-1.0
3855,2930,-1.0
3723,4967,-1.0
918,3790,1.0
3211,12491,-1.0
9396,7062,-1.0
2155,11955,-1.0
276,122,-1.0
13597,10830,-1.0
11468,5951,-1.0
5828,7719,1.0
9745,244,-1.0
13410,10226,-1.0
3101,2812,1.0
1557,5286,1.0
641,12296,-1.0
1468,1281,-1.0
11430,8600,-1.0
1468,2248,-1.0
918,11043,1.0
8635,2664,-1.0
10502,3501,-1.0
16191,8506,-1.0
13070,10184,-1.0
7118,10428,-1.0
9521,2146,1.0
9970,7067,1.0
10154,7483,-1.0
1116,171,1.0
7542,5830,-1.0
15328,12022,-1.0
10883,337,-1.0
5828,12149,1.0
6259,12554,-1.0
13938,13177,1.0
6433,11006,1.0
11166,554,0.0
16827,12798,1.0
10843,8044,1.0
4571,9433,0.0
11011,6117,1.0
6749,2837,1.0
15801,12312,1.0
15067,11929,1.0
8397,6427,-1.0
12647,8417,-1.0
6205,2078,-1.0
17624,3306,1.0
1219,8074,1.0
6015,5009,-1.0
3332,6978,-1.0
5972,11347,-1.0
3125,542,-1.0
918,10728,1.0
918,10246,1.0
11452,4731,-1.0
11451,7643,-1.0
4039,372,-1.0
1468,9029,-1.0
