24,21,-1.0
10,5,1.0
20,18,1.0
48,7,-1.0
73,3,-1.0
21,41,1.0
54,7,-1.0
63,22,1.0
62,11,-1.0
73,9,1.0
96,32,1.0
31,35,1.0
100,2,1.0
74,39,-1.0
72,18,1.0
13,46,-1.0
79,34,-1.0
28,25,1.0
101,11,-1.0
1,41,-1.0
96,38,1.0
77,24,1.0
45,41,-1.0
95,40,1.0
74,25,1.0
86,33,1.0
84,22,-1.0
99,31,1.0
53,35,-1.0
65,37,1.0
90,20,-1.0
18,13,1.0
6,45,1.0
85,26,-1.0
19,36,-1.0
0,31,-1.0
49,28,-1.0
1,15,1.0
57,30,1.0
14,46,-1.0
88,21,-1.0
22,42,-1.0
30,37,-1.0
21,1,-1.0
61,0,1.0
81,0,-1.0
25,11,-1.0
53,13,1.0
16,18,-1.0
47,24,-1.0
67,26,1.0
13,21,1.0
73,5,1.0
44,45,-1.0
73,24,-1.0
66,6,-1.0
42,42,-1.0
69,2,-1.0
7,10,-1.0
108,5,1.0
60,17,1.0
1,14,-1.0
24,27,1.0
36,17,-1.0
106,23,-1.0
67,42,-1.0
44,22,-1.0
104,34,1.0
51,40,1.0
40,2,1.0
30,17,-1.0
53,15,1.0
3,14,1.0
33,22,1.0
68,32,1.0
91,25,1.0
92,33,-1.0
11,32,-1.0
55,10,-1.0
89,4,1.0
94,29,-1.0
43,42,1.0
61,45,-1.0
50,19,1.0
76,38,-1.0
3,35,-1.0
27,37,1.0
103,23,1.0
84,28,1.0
98,3,1.0
63,32,-1.0
0,8,1.0
5,15,1.0
2,30,-1.0
64,38,1.0
76,45,1.0
66,25,1.0
52,8,1.0
78,12,1.0
22,31,-1.0
59,32,1.0
9,44,-1.0
56,39,1.0
12,32,1.0
109,6,1.0
30,33,-1.0
88,9,1.0
77,5,-1.0
98,9,-1.0
17,23,-1.0
29,44,-1.0
57,8,-1.0
32,34,1.0
37,20,-1.0
34,6,-1.0
25,7,1.0
1,13,1.0
23,20,1.0
74,36,-1.0
109,25,-1.0
71,27,-1.0
80,13,-1.0
58,40,-1.0
30,2,-1.0
105,36,-1.0
26,37,-1.0
39,27,-1.0
90,16,-1.0
10,9,1.0
96,28,-1.0
96,0,-1.0
105,39,-1.0
94,10,1.0
83,29,1.0
87,36,1.0
30,18,-1.0
35,3,-1.0
4,11,1.0
30,34,-1.0
38,16,-1.0
15,14,-1.0
19,16,1.0
14,29,-1.0
8,25,-1.0
102,33,1.0
75,43,-1.0
93,46,1.0
46,43,1.0
97,5,-1.0
18,1,-1.0
41,12,-1.0
31,15,-1.0
82,17,1.0
9,30,-1.0
80,1,1.0
85,44,1.0
97,9,-1.0
70,19,-1.0
52,26,1.0
30,40,-1.0
42,31,-1.0
23,39,-1.0
107,4,-1.0
