0,31,-1.0
117,6,-1.0
24,9,1.0
20,41,1.0
35,8,1.0
11,2,1.0
5,50,1.0
124,44,1.0
128,29,1.0
100,17,-1.0
39,19,-1.0
97,49,1.0
91,48,1.0
49,18,1.0
83,13,1.0
135,5,-1.0
93,40,1.0
41,53,1.0
23,24,1.0
36,5,1.0
110,26,-1.0
94,5,-1.0
53,35,1.0
56,56,-1.0
4,50,-1.0
58,16,-1.0
1,9,-1.0
18,52,-1.0
113,23,-1.0
63,4,1.0
29,21,-1.0
58,29,-1.0
79,6,1.0
98,41,-1.0
74,45,1.0
104,4,-1.0
115,16,1.0
12,42,1.0
50,51,-1.0
10,56,-1.0
62,36,1.0
75,38,-1.0
22,23,1.0
125,24,1.0
8,3,1.0
100,19,-1.0
108,33,-1.0
107,55,-1.0
133,10,-1.0
23,52,-1.0
72,28,-1.0
60,15,-1.0
28,3,-1.0
44,15,1.0
38,17,-1.0
73,54,-1.0
3,16,-1.0
17,0,-1.0
132,55,-1.0
76,33,1.0
31,7,1.0
3,44,-1.0
85,7,-1.0
16,43,1.0
37,11,-1.0
1,3,-1.0
26,45,-1.0
118,35,-1.0
1,31,1.0
55,20,-1.0
52,32,-1.0
130,11,1.0
124,37,-1.0
13,59,-1.0
102,59,1.0
1,33,-1.0
78,12,1.0
103,32,-1.0
80,18,-1.0
51,21,-1.0
66,28,1.0
126,15,-1.0
96,37,1.0
19,40,-1.0
65,55,1.0
88,38,-1.0
56,58,1.0
64,27,1.0
112,30,1.0
46,43,-1.0
119,50,-1.0
111,53,-1.0
92,54,1.0
79,18,-1.0
47,54,-1.0
129,49,-1.0
69,58,-1.0
21,20,1.0
33,22,1.0
131,26,1.0
2,1,1.0
109,4,-1.0
56,10,-1.0
27,52,1.0
43,40,-1.0
67,13,-1.0
14,14,-1.0
30,19,1.0
121,49,-1.0
60,57,-1.0
114,9,-1.0
26,21,-1.0
57,47,-1.0
135,57,-1.0
7,45,-1.0
13,23,-1.0
120,17,1.0
112,51,-1.0
79,58,-1.0
59,27,-1.0
82,21,1.0
105,39,1.0
134,42,-1.0
84,34,-1.0
104,51,1.0
103,54,-1.0
90,46,1.0
42,46,-1.0
6,38,1.0
127,24,-1.0
77,41,-1.0
71,53,-1.0
101,41,-1.0
56,1,-1.0
34,8,-1.0
23,47,-1.0
9,25,1.0
125,31,1.0
15,34,-1.0
122,30,-1.0
43,12,-1.0
1,22,-1.0
40,7,-1.0
116,39,-1.0
56,46,-1.0
113,14,-1.0
48,48,-1.0
86,1,-1.0
70,10,1.0
34,59,-1.0
54,35,-1.0
127,31,-1.0
39,11,-1.0
118,28,-1.0
0,57,1.0
95,12,-1.0
123,32,1.0
89,14,1.0
33,48,-1.0
81,34,1.0
23,26,-1.0
25,0,-1.0
99,25,-1.0
111,2,-1.0
68,36,-1.0
113,8,-1.0
61,25,-1.0
81,30,-1.0
45,22,-1.0
87,56,1.0
15,0,1.0
63,39,-1.0
131,27,-1.0
87,24,-1.0
118,49,-1.0
34,42,-1.0
129,29,-1.0
106,21,-1.0
4,47,1.0
32,2,-1.0
