285,1515,-1.0
927,1132,-1.0
2146,1916,1.0
941,1705,-1.0
2588,27,1.0
23,1942,1.0
1122,1671,-1.0
394,1875,1.0
1850,1346,-1.0
1221,1529,1.0
1762,1999,-1.0
2286,123,1.0
17,107,1.0
938,522,1.0
741,945,1.0
1090,1790,1.0
2282,1876,1.0
461,1234,-1.0
603,310,1.0
941,43,-1.0
905,122,1.0
602,2030,-1.0
2570,721,1.0
791,622,1.0
2540,904,1.0
272,909,1.0
2534,1071,-1.0
797,1309,-1.0
17,937,1.0
118,1372,1.0
1053,854,1.0
1330,1390,-1.0
1908,510,-1.0
1475,1229,-1.0
1848,1134,-1.0
25,1895,1.0
252,332,1.0
1180,1370,1.0
880,556,1.0
1403,400,-1.0
1150,1665,1.0
2588,1724,1.0
1553,151,1.0
2570,58,-1.0
631,453,1.0
2227,391,-1.0
1715,1223,1.0
90,38,1.0
442,918,-1.0
1424,529,-1.0
36,1810,-1.0
1488,360,-1.0
2588,435,1.0
2445,378,1.0
762,68,-1.0
1021,925,1.0
2003,656,-1.0
2588,52,-1.0
381,810,-1.0
784,1038,1.0
1457,632,1.0
1744,708,1.0
832,804,1.0
817,1163,1.0
1709,1878,1.0
2540,678,1.0
2296,37,-1.0
2570,793,1.0
1884,953,1.0
1888,903,1.0
422,414,-1.0
309,1414,1.0
2064,1876,1.0
1122,617,1.0
2286,619,1.0
1753,200,1.0
2327,2049,1.0
328,51,-1.0
1223,468,-1.0
1480,1617,-1.0
1174,1055,1.0
17,1660,1.0
269,560,-1.0
180,1658,-1.0
128,966,-1.0
1762,1043,-1.0
117,2026,-1.0
1369,1684,1.0
2481,375,1.0
2061,727,1.0
996,1823,-1.0
17,627,1.0
290,1671,1.0
1326,1832,1.0
302,433,1.0
553,138,1.0
1186,1851,-1.0
1124,1436,-1.0
1711,997,-1.0
1476,333,-1.0
1762,172,-1.0
2286,859,1.0
1117,1265,1.0
2271,1240,1.0
1762,62,1.0
1290,994,-1.0
797,631,-1.0
797,1034,-1.0
2177,400,1.0
1762,1408,-1.0
401,1471,1.0
797,1644,-1.0
2117,1702,-1.0
678,977,1.0
1676,699,1.0
2215,1706,1.0
2562,545,1.0
790,156,-1.0
1458,391,1.0
1762,1311,-1.0
797,2017,-1.0
902,663,-1.0
268,1611,-1.0
1122,1488,-1.0
269,1171,-1.0
1683,386,-1.0
1000,1361,1.0
1621,1658,1.0
148,1278,1.0
1538,732,-1.0
939,1135,-1.0
1824,1758,1.0
1385,863,1.0
2386,1538,-1.0
2247,1133,-1.0
631,2008,1.0
2259,1248,1.0
1888,1374,1.0
1438,1127,1.0
